"","s.High(10X)","s.Normal","s.Severe(50X)","index","stat","p.value"
"OTU113 ",0,0,1,3,0.618115976584854,0.000999000999000999
"OTU204 ",0,1,0,2,0.642187099145525,0.000999000999000999
"OTU241 ",0,0,1,3,0.704351110136387,0.000999000999000999
"OTU243 ",0,0,1,3,0.742019482856607,0.000999000999000999
"OTU244 ",1,0,0,1,0.637442642515111,0.000999000999000999
"OTU254 ",0,0,1,3,0.619897552756641,0.000999000999000999
"OTU302 ",0,0,1,3,0.706630351814033,0.000999000999000999
"OTU311 ",0,1,0,2,0.629040846580991,0.000999000999000999
"OTU344 ",0,0,1,3,0.624484102063438,0.000999000999000999
"OTU369 ",0,1,0,2,0.639504539766021,0.000999000999000999
"OTU370 ",0,0,1,3,0.751534099921432,0.000999000999000999
"OTU373 ",0,0,1,3,0.644512931043215,0.000999000999000999
"OTU376 ",0,0,1,3,0.685467662730175,0.000999000999000999
"OTU389 ",0,0,1,3,0.626083658797019,0.000999000999000999
"OTU402 ",0,0,1,3,0.75059909017094,0.000999000999000999
"OTU527 ",0,1,0,2,0.616355316784471,0.000999000999000999
"OTU544 ",0,1,0,2,0.631314254157031,0.000999000999000999
"OTU551 ",1,0,0,1,0.594272618240215,0.000999000999000999
"OTU552 ",0,1,0,2,0.70898472507232,0.000999000999000999
"OTU584 ",0,1,0,2,0.814553071912628,0.000999000999000999
"OTU586 ",0,1,0,2,0.782499772853014,0.000999000999000999
"OTU589 ",0,1,0,2,0.824582732272745,0.000999000999000999
"OTU591 ",0,1,0,2,0.789832371019728,0.000999000999000999
"OTU592 ",0,1,0,2,0.65471228199755,0.000999000999000999
"OTU599 ",0,1,0,2,0.593482809392396,0.000999000999000999
"OTU610 ",0,1,0,2,0.797241106320337,0.000999000999000999
"OTU611 ",0,0,1,3,0.696791273455547,0.000999000999000999
"OTU612 ",0,1,0,2,0.624859055854833,0.000999000999000999
"OTU618 ",0,1,0,2,0.626536127440493,0.000999000999000999
"OTU646 ",0,1,0,2,0.614079199051783,0.000999000999000999
"OTU665 ",0,1,0,2,0.611303945721741,0.000999000999000999
"OTU678 ",0,1,0,2,0.621119098782109,0.000999000999000999
"OTU681 ",0,1,0,2,0.685519251811739,0.000999000999000999
"OTU692 ",0,1,0,2,0.652236062208745,0.000999000999000999
"OTU809 ",0,0,1,3,0.791255844711507,0.000999000999000999
"OTU860 ",0,0,1,3,0.630737753958559,0.000999000999000999
"OTU878 ",0,1,0,2,0.648837447895482,0.000999000999000999
"OTU891 ",0,1,0,2,0.77782844103231,0.000999000999000999
"OTU897 ",0,1,0,2,0.705221116204113,0.000999000999000999
"OTU899 ",0,1,0,2,0.652545970435882,0.000999000999000999
"OTU905 ",0,1,0,2,0.632152999759883,0.000999000999000999
"OTU958 ",1,0,0,1,0.721419587602363,0.000999000999000999
"OTU1001",0,1,0,2,0.660467614228746,0.000999000999000999
"OTU1029",0,1,0,2,0.596496821297358,0.000999000999000999
"OTU1061",0,1,0,2,0.599686950283656,0.000999000999000999
"OTU1096",0,0,1,3,0.695528064163016,0.000999000999000999
"OTU1197",0,0,1,3,0.832721130587847,0.000999000999000999
"OTU1483",0,0,1,3,0.726022696172435,0.000999000999000999
"OTU1586",0,0,1,3,0.669664390269477,0.000999000999000999
"OTU1615",0,0,1,3,0.696165637294104,0.000999000999000999
"OTU1687",0,0,1,3,0.762902287679973,0.000999000999000999
"OTU1706",0,0,1,3,0.631191689704008,0.000999000999000999
"OTU1708",0,0,1,3,0.634882492748402,0.000999000999000999
"OTU1716",0,0,1,3,0.694463786052714,0.000999000999000999
"OTU1733",0,0,1,3,0.765988049430754,0.000999000999000999
"OTU1735",0,0,1,3,0.606871865832618,0.000999000999000999
"OTU1736",0,0,1,3,0.59807732278059,0.000999000999000999
"OTU1790",0,0,1,3,0.643348081348266,0.000999000999000999
"OTU1794",0,0,1,3,0.815108604151416,0.000999000999000999
"OTU1872",0,1,0,2,0.604813524666216,0.000999000999000999
"OTU1895",0,0,1,3,0.601594326878754,0.000999000999000999
"OTU1948",1,0,0,1,0.658013119720393,0.000999000999000999
"OTU1963",0,0,1,3,0.75071079616718,0.000999000999000999
"OTU1986",0,0,1,3,0.718160431948267,0.000999000999000999
"OTU1989",0,0,1,3,0.664934043316996,0.000999000999000999
"OTU2003",0,1,0,2,0.766107790383543,0.000999000999000999
"OTU2004",0,1,0,2,0.743066698603558,0.000999000999000999
"OTU2005",0,1,0,2,0.664254962887536,0.000999000999000999
"OTU2006",0,1,0,2,0.634628003647344,0.000999000999000999
"OTU2018",0,0,1,3,0.783248662401295,0.000999000999000999
"OTU2020",0,0,1,3,0.76586574465525,0.000999000999000999
"OTU2021",0,0,1,3,0.609137927070798,0.000999000999000999
"OTU2022",0,0,1,3,0.730614172995099,0.000999000999000999
"OTU2028",0,0,1,3,0.681740439246102,0.000999000999000999
"OTU2030",0,0,1,3,0.630067671988983,0.000999000999000999
"OTU2036",0,1,0,2,0.627007902859331,0.000999000999000999
"OTU2037",0,1,0,2,0.631463041693824,0.000999000999000999
"OTU2039",0,1,0,2,0.65072847753111,0.000999000999000999
"OTU2040",0,1,0,2,0.631093003151678,0.000999000999000999
"OTU2043",0,1,0,2,0.69382504207932,0.000999000999000999
"OTU2045",0,1,0,2,0.642651502399913,0.000999000999000999
"OTU2047",0,1,0,2,0.670361875801355,0.000999000999000999
"OTU2048",0,1,0,2,0.604155348214365,0.000999000999000999
"OTU2051",0,1,0,2,0.644606023803255,0.000999000999000999
"OTU2071",0,0,1,3,0.735863137309504,0.000999000999000999
"OTU2098",0,0,1,3,0.632883706373208,0.000999000999000999
"OTU2134",0,1,0,2,0.799418775974046,0.000999000999000999
"OTU2151",0,1,0,2,0.615656341515255,0.000999000999000999
"OTU2161",0,1,0,2,0.66516746732221,0.000999000999000999
"OTU2168",0,1,0,2,0.719100535907001,0.000999000999000999
"OTU2172",0,0,1,3,0.713580394047048,0.000999000999000999
"OTU2173",0,1,0,2,0.671376178607109,0.000999000999000999
"OTU2187",0,1,0,2,0.714170448671775,0.000999000999000999
"OTU2210",0,1,0,2,0.777365283788756,0.000999000999000999
"OTU2224",0,0,1,3,0.731400204401162,0.000999000999000999
"OTU2241",0,0,1,3,0.827179475988339,0.000999000999000999
"OTU2243",0,0,1,3,0.68598765185545,0.000999000999000999
"OTU2244",0,0,1,3,0.648395030502369,0.000999000999000999
"OTU2275",0,0,1,3,0.696732395444452,0.000999000999000999
"OTU2294",0,0,1,3,0.608677518974378,0.000999000999000999
"OTU2300",1,0,0,1,0.753499358797089,0.000999000999000999
"OTU2388",0,0,1,3,0.718306656833509,0.000999000999000999
"OTU2426",0,0,1,3,0.672975290922254,0.000999000999000999
"OTU2453",0,0,1,3,0.678834930553667,0.000999000999000999
"OTU2467",0,0,1,3,0.673730259704324,0.000999000999000999
"OTU2497",0,0,1,3,0.851001004756545,0.000999000999000999
"OTU2523",0,0,1,3,0.712818202103716,0.000999000999000999
"OTU2527",0,0,1,3,0.796319610148831,0.000999000999000999
"OTU2540",0,0,1,3,0.830935528408349,0.000999000999000999
"OTU2546",0,0,1,3,0.62579160637095,0.000999000999000999
"OTU2581",0,0,1,3,0.639566462814621,0.000999000999000999
"OTU2604",0,0,1,3,0.636783100840337,0.000999000999000999
"OTU2610",0,0,1,3,0.750892427830206,0.000999000999000999
"OTU2612",0,0,1,3,0.706463541288106,0.000999000999000999
"OTU2619",0,0,1,3,0.702987553372921,0.000999000999000999
"OTU2644",1,0,0,1,0.648560801370859,0.000999000999000999
"OTU2730",0,0,1,3,0.710598446871261,0.000999000999000999
"OTU2770",1,0,0,1,0.815236164311846,0.000999000999000999
"OTU2800",1,0,0,1,0.680949034357629,0.000999000999000999
"OTU2801",1,0,0,1,0.646671181355356,0.000999000999000999
"OTU2846",0,1,0,2,0.606634766370435,0.000999000999000999
"OTU2860",0,1,0,2,0.62972964960185,0.000999000999000999
"OTU2863",0,1,0,2,0.663055687191538,0.000999000999000999
"OTU2921",0,0,1,3,0.624510886578298,0.000999000999000999
"OTU2923",0,0,1,3,0.681586755660393,0.000999000999000999
"OTU2948",0,0,1,3,0.595789944970008,0.000999000999000999
"OTU2952",0,1,0,2,0.764016591402415,0.000999000999000999
"OTU2953",0,1,0,2,0.744420929384362,0.000999000999000999
"OTU2955",0,1,0,2,0.72367834030609,0.000999000999000999
"OTU2957",0,1,0,2,0.677205839354179,0.000999000999000999
"OTU2963",0,1,0,2,0.626419703433456,0.000999000999000999
"OTU2964",0,0,1,3,0.61373123950274,0.000999000999000999
"OTU2969",0,1,0,2,0.614758825168094,0.000999000999000999
"OTU2970",0,0,1,3,0.770648431748368,0.000999000999000999
"OTU2981",0,0,1,3,0.767635120526484,0.000999000999000999
"OTU3020",1,0,0,1,0.765927542069665,0.000999000999000999
"OTU3084",0,0,1,3,0.759663229358655,0.000999000999000999
