"","s.High(5X)","s.Moderately High(3x)","s.Severe(15X)","index","stat","p.value"
"OTU52  ",0,1,0,2,0.662876317523306,0.011988011988012
"OTU63  ",0,0,1,3,0.61783097672138,0.01998001998002
"OTU80  ",0,0,1,3,0.688205570915634,0.00899100899100899
"OTU83  ",0,1,0,2,0.625158761332819,0.00799200799200799
"OTU105 ",0,1,0,2,0.663241179910174,0.01998001998002
"OTU107 ",0,0,1,3,0.66530648186288,0.00999000999000999
"OTU154 ",0,0,1,3,0.630075222839126,0.037962037962038
"OTU155 ",0,1,0,2,0.655255839993742,0.018981018981019
"OTU156 ",1,0,0,1,0.59408724640215,0.021978021978022
"OTU175 ",0,1,0,2,0.595384924539795,0.023976023976024
"OTU183 ",0,1,0,2,0.625449584059856,0.035964035964036
"OTU210 ",0,1,0,2,0.663073737455007,0.042957042957043
"OTU297 ",0,1,0,2,0.69794356050905,0.011988011988012
"OTU299 ",0,1,0,2,0.65311888535078,0.013986013986014
"OTU301 ",0,1,0,2,0.627565829772207,0.026973026973027
"OTU383 ",1,0,0,1,0.602371939336734,0.026973026973027
"OTU586 ",0,0,1,3,0.600655425011449,0.030969030969031
"OTU648 ",1,0,0,1,0.681272980297077,0.040959040959041
"OTU689 ",1,0,0,1,0.618186489428108,0.021978021978022
"OTU699 ",0,1,0,2,0.676372202968515,0.00599400599400599
"OTU706 ",0,0,1,3,0.601224396571585,0.033966033966034
"OTU712 ",0,1,0,2,0.638810851648072,0.020979020979021
"OTU713 ",0,0,1,3,0.655156074215089,0.017982017982018
"OTU726 ",0,1,0,2,0.592476355340076,0.023976023976024
"OTU729 ",0,1,0,2,0.665277252233181,0.00899100899100899
"OTU768 ",0,1,0,2,0.614333696150449,0.003996003996004
"OTU772 ",0,1,0,2,0.683088798958675,0.00799200799200799
"OTU781 ",0,1,0,2,0.6908557494312,0.012987012987013
"OTU789 ",0,1,0,2,0.594981566276338,0.034965034965035
"OTU872 ",0,0,1,3,0.657313751502951,0.00899100899100899
"OTU884 ",0,0,1,3,0.602395334697825,0.025974025974026
"OTU911 ",0,0,1,3,0.605678086280946,0.031968031968032
"OTU967 ",0,1,0,2,0.682470894073201,0.038961038961039
"OTU1010",0,1,0,2,0.603939762090365,0.002997002997003
"OTU1016",0,1,0,2,0.681869480206904,0.003996003996004
"OTU1058",0,1,0,2,0.623923189680454,0.018981018981019
"OTU1072",0,1,0,2,0.689727626050442,0.010989010989011
"OTU1076",0,1,0,2,0.628657657493236,0.004995004995005
"OTU1078",0,1,0,2,0.615862046776058,0.015984015984016
