OTU_ID,Short_name,Short_name,ConsensusLineage,ConsensusLineage,,,,,
OTU1,(Aenigmatarchaeales);JAFGAZ01,(o__Aenigmatarchaeales);JAFGAZ01,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__Aenigmatarchaeales; f__Aenigmatarchaeaceae; JAFGAZ01,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__Aenigmatarchaeales,f__Aenigmatarchaeaceae,JAFGAZ01
OTU2,(Aenigmatarchaeales);unclassified,(o__Aenigmatarchaeales);unclassified,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__Aenigmatarchaeales; f__Aenigmatarchaeaceae; unclassified,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__Aenigmatarchaeales,f__Aenigmatarchaeaceae,unclassified
OTU3,(Aenigmatarchaeales);,(o__Aenigmatarchaeales);,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__Aenigmatarchaeales; unclassified,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__Aenigmatarchaeales,unclassified,
OTU4,(CG10238-14);JABABT01,(o__CG10238-14);JABABT01,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__CG10238-14; f__SCSR01; JABABT01,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__CG10238-14,f__SCSR01,JABABT01
OTU5,(CG10238-14);unclassified,(o__CG10238-14);unclassified,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__CG10238-14; f__SCSR01; unclassified,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__CG10238-14,f__SCSR01,unclassified
OTU6,(CG10238-14);,(o__CG10238-14);,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__CG10238-14; unclassified,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__CG10238-14,unclassified,
OTU7,(GW2011-AR5);unclassified,(o__GW2011-AR5);unclassified,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__GW2011-AR5; f__GW2011-AR5; unclassified,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__GW2011-AR5,f__GW2011-AR5,unclassified
OTU8,(GW2011-AR5);,(o__GW2011-AR5);,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__GW2011-AR5; unclassified,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__GW2011-AR5,unclassified,
OTU9,(QMZP01);unclassified,(o__QMZP01);unclassified,d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__QMZP01; f__JAFGSV01; unclassified,d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__QMZP01,f__JAFGSV01,unclassified
