OTU_ID,Short_name,Short_name,Taxonomy,Domain,Phylum,Class,Order,Family,Genus
OTU1,(o__QMZP01) g__,(o__QMZP01) g__, d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__QMZP01;unclassified;, d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,o__QMZP01,unclassified,g__
OTU2,(unclassified) g__,(unclassified) g__, d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;unclassified;, d__Archaea,p__Aenigmatarchaeota,c__Aenigmatarchaeia,unclassified,,g__
OTU3,(o__UBA460) g__Kariarchaeum,(o__UBA460) g__Kariarchaeum, d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__Kariarchaeaceae;g__Kariarchaeum, d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,o__UBA460,f__Kariarchaeaceae,g__Kariarchaeum
OTU4,(o__UBA460) unclassified,(o__UBA460) unclassified, d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__Kariarchaeaceae;unclassified, d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,o__UBA460,f__Kariarchaeaceae,unclassified
OTU5,(o__UBA460) g__,(o__UBA460) g__, d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;unclassified;, d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,o__UBA460,unclassified,g__
OTU6,(unclassified) g__,(unclassified) g__, d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;unclassified;, d__Archaea,p__Asgardarchaeota,c__Heimdallarchaeia,unclassified,,g__
OTU7,(o__) g__,(o__) g__, d__Archaea;p__Asgardarchaeota;unclassified;, d__Archaea,p__Asgardarchaeota,unclassified,o__,,g__
OTU8,(o__Methanomicrobiales) g__Methanoculleus,(o__Methanomicrobiales) g__Methanoculleus, d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus, d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoculleaceae,g__Methanoculleus
OTU9,(o__Methanomicrobiales) g__,(o__Methanomicrobiales) g__, d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;unclassified;, d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,unclassified,g__
OTU10,(o__) g__,(o__) g__, d__Archaea;p__Halobacteriota;unclassified;, d__Archaea,p__Halobacteriota,unclassified,o__,,g__
OTU11,(o__Iainarchaeales) g__,(o__Iainarchaeales) g__, d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;unclassified;, d__Archaea,p__Iainarchaeota,c__Iainarchaeia,o__Iainarchaeales,unclassified,g__
OTU12,(unclassified) g__,(unclassified) g__, d__Archaea;p__Iainarchaeota;c__Iainarchaeia;unclassified;, d__Archaea,p__Iainarchaeota,c__Iainarchaeia,unclassified,,g__
OTU13,(unclassified) g__,(unclassified) g__, d__Archaea;p__Micrarchaeota;c__Micrarchaeia;unclassified;, d__Archaea,p__Micrarchaeota,c__Micrarchaeia,unclassified,,g__
OTU14,(o__Pacearchaeales) g__JAGVXH01,(o__Pacearchaeales) g__JAGVXH01, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAGVXH01, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Pacearchaeales,f__GW2011-AR1,g__JAGVXH01
OTU15,(o__Pacearchaeales) g__PSPM01,(o__Pacearchaeales) g__PSPM01, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__PSPM01, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Pacearchaeales,f__GW2011-AR1,g__PSPM01
OTU16,(o__Pacearchaeales) g__UBA73,(o__Pacearchaeales) g__UBA73, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__UBA73, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Pacearchaeales,f__GW2011-AR1,g__UBA73
OTU17,(o__Pacearchaeales) unclassified,(o__Pacearchaeales) unclassified, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;unclassified, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Pacearchaeales,f__GW2011-AR1,unclassified
OTU18,(o__Pacearchaeales) g__,(o__Pacearchaeales) g__, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;unclassified;, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Pacearchaeales,unclassified,g__
OTU19,(o__SCGC-AAA011-G17) unclassified,(o__SCGC-AAA011-G17) unclassified, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__GW2011-AR17;unclassified, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__SCGC-AAA011-G17,f__GW2011-AR17,unclassified
OTU20,(o__SCGC-AAA011-G17) g__JABIKK01,(o__SCGC-AAA011-G17) g__JABIKK01, d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__UBA489;g__JABIKK01, d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__SCGC-AAA011-G17,f__UBA489,g__JABIKK01
